ΔT,D,Compound,Method,Source,SourceFigure
6.97709999999995,80.9317,Lead,dark-field EM,David et al. (1995),Figure 2
13.634699999999953,84.85132,Lead,dark-field EM,David et al. (1995),Figure 2
5.441199999999981,97.21076000000001,Lead,dark-field EM,David et al. (1995),Figure 2
89.52959999999996,9.8322,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
83.21699999999998,10.4504,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
76.75049999999999,12.7378,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
72.90139999999997,12.98,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
83.06309999999996,10.9636,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
71.8236,10.6634,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
66.89679999999998,12.6996,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
60.8922,13.1906,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
53.96379999999999,13.4208,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
45.80359999999996,14.1602,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
43.95609999999999,15.3094,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
39.952999999999975,16.1932,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
35.94989999999996,15.6638,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
29.79129999999998,16.7964,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
27.94369999999998,19.7438,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
24.094599999999957,21.014,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
23.940699999999993,23.7112,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
25.326300000000003,18.1924,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
20.399599999999964,20.3574,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
19.629699999999957,24.8508,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
15.934499999999957,24.1942,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
18.70599999999996,29.4722,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
14.702799999999968,32.6686,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
13.778999999999996,28.6824,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
12.701199999999972,26.6228,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
7.928299999999979,29.1738,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
14.856799999999964,33.0544,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
12.547300000000007,38.9552,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
14.702799999999968,32.9254,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
6.6965999999999894,43.943,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
11.623499999999979,42.8058,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
5.002999999999986,42.9088,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
8.698199999999986,50.2458,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
7.774399999999957,57.6936,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
6.850599999999986,66.169,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
3.0014999999999645,62.814,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
5.6188999999999965,75.2856,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
4.541099999999972,88.3856,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
0.6920000000000073,94.1518,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
2.539600000000007,103.6658,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
1.7697999999999752,117.666,Tin,TEM/calorimetry,Koppes et al. (2010),Figure 1
840.4657,2.2762,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
756.6566,1.2276,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
758.8414,1.9949,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
692.3161,3.0691,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
647.1697,2.1228,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
675.0595,1.509,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
556.9918,2.6087,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
593.5489,3.5806,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
337.9747,3.5038,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
393.86429999999996,4.5524,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
194.1649,5.2174,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
151.44540000000006,10.0512,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
125.92699999999991,15.2941,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
128.0598,14.9872,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
68.16779999999994,20.0,Gold,FEE/DTA,Lu et al. (2009),"Figure 2, bottom left"
104.41969999999998,2.5032,Polyethylene,DTA,Jiang et al. (2003),Figure 1
100.04199999999997,2.717,Polyethylene,DTA,Jiang et al. (2003),Figure 1
96.0052,3.423,Polyethylene,DTA,Jiang et al. (2003),Figure 1
92.6395,3.8018,Polyethylene,DTA,Jiang et al. (2003),Figure 1
92.97000000000003,3.0371,Polyethylene,DTA,Jiang et al. (2003),Figure 1
87.91480000000001,2.813,Polyethylene,DTA,Jiang et al. (2003),Figure 1
87.58109999999999,3.1952,Polyethylene,DTA,Jiang et al. (2003),Figure 1
86.40750000000003,3.8496,Polyethylene,DTA,Jiang et al. (2003),Figure 1
83.04039999999998,4.0645,Polyethylene,DTA,Jiang et al. (2003),Figure 1
79.65820000000002,2.4761,Polyethylene,DTA,Jiang et al. (2003),Figure 1
76.2912,2.6909,Polyethylene,DTA,Jiang et al. (2003),Figure 1
75.6352,4.8215,Polyethylene,DTA,Jiang et al. (2003),Figure 1
70.7484,4.5975,Polyethylene,DTA,Jiang et al. (2003),Figure 1
70.07510000000002,4.6514,Polyethylene,DTA,Jiang et al. (2003),Figure 1
70.91829999999999,4.7617,Polyethylene,DTA,Jiang et al. (2003),Figure 1
65.7038,5.6303,Polyethylene,DTA,Jiang et al. (2003),Figure 1
67.71359999999999,4.2664,Polyethylene,DTA,Jiang et al. (2003),Figure 1
60.980399999999975,4.8054,Polyethylene,DTA,Jiang et al. (2003),Figure 1
60.31630000000001,5.9523,Polyethylene,DTA,Jiang et al. (2003),Figure 1
56.77480000000003,5.4566,Polyethylene,DTA,Jiang et al. (2003),Figure 1
55.266099999999994,6.3293,Polyethylene,DTA,Jiang et al. (2003),Figure 1
53.7432,5.5079,Polyethylene,DTA,Jiang et al. (2003),Figure 1
51.06369999999998,7.3629,Polyethylene,DTA,Jiang et al. (2003),Figure 1
50.88240000000002,5.8327,Polyethylene,DTA,Jiang et al. (2003),Figure 1
46.00479999999999,6.7016,Polyethylene,DTA,Jiang et al. (2003),Figure 1
50.05439999999999,7.5257,Polyethylene,DTA,Jiang et al. (2003),Figure 1
44.666,7.7384,Polyethylene,DTA,Jiang et al. (2003),Figure 1
40.12209999999999,8.2253,Polyethylene,DTA,Jiang et al. (2003),Figure 1
38.10849999999999,9.152,Polyethylene,DTA,Jiang et al. (2003),Figure 1
31.86959999999999,8.3801,Polyethylene,DTA,Jiang et al. (2003),Figure 1
34.747900000000016,10.132,Polyethylene,DTA,Jiang et al. (2003),Figure 1
33.06849999999997,10.7311,Polyethylene,DTA,Jiang et al. (2003),Figure 1
28.175299999999993,9.7423,Polyethylene,DTA,Jiang et al. (2003),Figure 1
30.386199999999974,12.2583,Polyethylene,DTA,Jiang et al. (2003),Figure 1
32.899099999999976,10.6217,Polyethylene,DTA,Jiang et al. (2003),Figure 1
